Model,GPCR,AgonistRank,Class,unseen
AF2 LIS (no templates),ccr3_human,2,Class A,Unseen
AF2 LIS (no templates),ntr1_human,1,Class A,Seen
AF2 LIS (no templates),ackr4_human,1,Class A,Unseen
AF2 LIS (no templates),nmbr_human,1,Class A,Unseen
AF2 LIS (no templates),npy1r_human,1,Class A,Unseen
AF2 LIS (no templates),crfr2_human,1,Class B1,Seen
AF2 LIS (no templates),lgr5_human,1,Class A,Unseen
AF2 LIS (no templates),ghrhr_human,3,Class B1,Seen
AF2 LIS (no templates),npff1_human,1,Class A,Unseen
AF2 LIS (no templates),npff2_human,1,Class A,Unseen
AF2 LIS (no templates),cxcr5_human,1,Class A,Unseen
AF2 LIS (no templates),ccr10_human,2,Class A,Unseen
AF2 LIS (no templates),xcr1_human,1,Class A,Unseen
AF2 LIS (no templates),ackr2_human,1,Class A,Unseen
AF2 LIS (no templates),fpr2_human,7,Class A,Seen
AF2 LIS (no templates),nk1r_human,1,Class A,Unseen
AF2 LIS (no templates),c3ar_human,1,Class A,Seen
AF2 LIS (no templates),cxcr1_human,1,Class A,Unseen
AF2 LIS (no templates),lgr4_human,1,Class A,Unseen
AF2 LIS (no templates),ccr8_human,1,Class A,Unseen
AF2 LIS (no templates),qrfpr_human,1,Class A,Unseen
AF2 LIS (no templates),cxcr6_human,1,Class A,Unseen
AF2 LIS (no templates),cml2_human,1,Class A,Unseen
AF2 LIS (no templates),cxcr2_human,1,Class A,Seen
AF2 LIS (no templates),apj_human,1,Class A,Seen
AF2 LIS (no templates),par4_human,1,Class A,Unseen
AF2 LIS (no templates),fshr_human,8,Class A,Unseen
AF2 LIS (no templates),prlhr_human,1,Class A,Unseen
AF2 LIS (no templates),crfr1_human,1,Class B1,Seen
AF2 LIS (no templates),lgr6_human,1,Class A,Unseen
AF2 LIS (no templates),ccr7_human,1,Class A,Unseen
AF2 LIS (no templates),ghsr_human,6,Class A,Seen
AF2 LIS (no templates),oprx_human,1,Class A,Unseen
AF2 LIS (no templates),cxcr3_human,6,Class A,Unseen
AF2 LIS (no templates),bkrb1_human,1,Class A,Unseen
AF2 LIS (no templates),agtr1_human,2,Class A,Seen
AF2 LIS (no templates),mc4r_human,1,Class A,Seen
AF2 LIS (no templates),grpr_human,1,Class A,Unseen
AF2 LIS (no templates),mchr2_human,1,Class A,Unseen
AF2 LIS (no templates),cml1_human,1,Class A,Unseen
AF2 LIS (no templates),rl3r1_human,1,Class A,Unseen
AF2 LIS (no templates),bkrb2_human,2,Class A,Unseen
AF2 LIS (no templates),gpr75_human,11,Class A,Unseen
AF2 LIS (no templates),mrgx2_human,2,Class A,Unseen
AF2 LIS (no templates),fpr3_human,6,Class A,Unseen
