identifier,iptm+ptm,seq_len,average_pLDDT,interface_pLDDT,dG_cross,dSASA_int,hbonds_int,nres_int,sc_value,peptide_interface_pLLDT,receptor_interface_pLLDT
pth2r_human___3643,,,,,,,,,,,
fpr1_human___4058,0.566345397854441,365,76.68189041095894,71.08732394366199,,,,,,81.05767857142858,33.864666666666665
hrh4_human___644,0.5443498021121425,399,67.41771929824563,64.17241935483871,,,,,,70.0420754716981,29.60666666666667
cxcr6_human___821,0.4072576963125696,419,71.6368973747017,59.19124999999997,,,,,,60.530857142857144,57.574482758620704
crfr2_human___1790,0.40015030749516106,447,68.22697986577178,58.95055555555559,,,,,,69.39977777777781,32.82750000000001
cxcr3_human___819,0.8024676855239137,441,76.49328798185942,75.43175824175829,,,,,,74.73526315789474,76.59941176470586
gpr75_human___758,0.3895207909702901,608,53.46174342105265,57.133303571428584,,,,,,59.925915492957756,52.297317073170724
cxcr2_human___1579,0.45772557167742534,373,71.64586021505379,69.74616666666667,,,,,,75.35803921568628,37.94555555555556
ackr4_human___613,0.5109707484563212,360,69.26494444444447,69.66883720930235,,,,,,74.7346052631579,31.169
oprm_human___1157,0.6245846692140304,409,67.23877149877148,76.1928787878788,,,,,,80.77796610169493,37.54714285714285
cml1_human___5654,0.6700545174103996,386,72.08621761658034,72.05296874999998,,,,,,78.37509803921567,47.25076923076923
ccr10_human___808,0.8002232286338015,432,76.2294444444445,78.00099236641219,,,,,,74.68037974683544,83.04576923076921
vipr2_human___808,,,,,,,,,,,
pkr2_human___1790,0.4184162816974055,420,72.47402380952374,54.993,,,,,,64.83596491228072,37.99151515151515
npy5r_human___2168,0.6062986813145985,454,65.0335682819384,70.11902777777775,,,,,,75.14507936507935,34.93666666666667
ackr3_human___989,0.583347906300608,383,75.45767624020897,63.97506493506492,,,,,,69.92568965517239,45.809999999999995
cxcr2_human___2945,0.4213125596093597,494,71.3048178137653,65.42913580246915,,,,,,63.923478260869565,67.40800000000003
ghrhr_human___644,,,,,,,,,,,
npy1r_human___1504,0.8150892087728914,420,77.15759523809531,82.05504132231404,,,,,,82.02544444444446,82.1409677419355
cml1_human___1157,0.7121373960523374,382,75.05994736842104,64.476875,,,,,,67.28491228070176,41.61142857142857
cml2_human___1643,0.49161090330449775,386,75.40536269430048,67.07500000000002,,,,,,78.23933333333335,33.582
ccr3_human___855,0.42432383012199704,580,62.520379310344836,67.44490000000002,,,,,,74.02075630252104,57.78407407407409
ackr3_human___2089,0.5604086484698695,372,77.02330645161291,68.25804878048784,,,,,,73.37805555555559,31.394
cml1_human___687,0.45172429196368435,410,69.26443902439021,62.17558441558441,,,,,,73.32247863247865,26.927297297297294
cxcr4_human___2168,0.5900849361767488,361,75.54922437673126,75.49327868852461,,,,,,82.36269230769231,35.803333333333335
ccr1_human___1790,0.5529256643102152,391,78.28982097186697,73.89749999999995,,,,,,83.03530612244897,50.33157894736842
ccr6_human___2257,0.7613746930852463,401,76.0240399002493,79.21047619047621,,,,,,80.07581395348836,77.35
